category_id,pv,fav,cart,buy,category_conv_rate
4584709,1,0,0,0,0.0
4585473,7,0,1,0,0.0
4588777,0,0,1,0,0.0
4590639,3,0,1,0,0.0
4591297,9,0,0,0,0.0
4592018,43,1,1,0,0.0
4593052,9,0,0,0,0.0
4595135,3,1,0,0,0.0
4595260,24,0,0,0,0.0
4595580,25,0,2,0,0.0
4596496,24,0,1,0,0.0
4596584,97,7,9,0,0.0
4600060,285,9,13,0,0.0
4600680,132,1,0,0,0.0
4601287,1,0,0,0,0.0
4603467,15,0,2,0,0.0
4603741,4,0,1,0,0.0
4604737,28,1,6,0,0.0
4605179,3,1,0,0,0.0
4605315,91,2,6,0,0.0
4606579,4,0,0,0,0.0
4607596,49,0,1,0,0.0
4608278,27,0,0,0,0.0
4610961,55,2,2,0,0.0
4613316,1,0,0,0,0.0
4615665,5,0,0,0,0.0
4616007,14,0,0,0,0.0
4617666,4,0,0,0,0.0
4619932,0,0,1,0,0.0
4622818,3,0,0,0,0.0
4627937,1,0,0,0,0.0
4629913,2,0,0,0,0.0
4630561,1,0,0,0,0.0
4631177,9,1,0,0,0.0
4631356,56,1,2,0,0.0
4632203,2,0,0,0,0.0
4632427,5,0,1,0,0.0
4635122,12,0,0,0,0.0
4638601,37,2,0,0,0.0
4639422,7,0,0,0,0.0
4640795,6,0,0,0,0.0
4641137,14,2,1,0,0.0
4641386,1,0,0,0,0.0
4642962,3,0,0,0,0.0
4643586,10,0,0,0,0.0
4643925,13,0,0,0,0.0
4643958,4,0,0,0,0.0
4644351,4,0,0,0,0.0
4644372,2,0,0,0,0.0
4645521,25,1,0,0,0.0
4648307,2,0,1,0,0.0
4649616,2,0,0,0,0.0
4650069,1,0,0,0,0.0
4656341,1,0,1,0,0.0
4658516,4,0,0,0,0.0
4658670,2,0,0,0,0.0
4662023,13,0,0,0,0.0
4663130,5,0,0,0,0.0
4664792,2,0,0,0,0.0
4668616,38,2,1,0,0.0
4670159,23,0,1,0,0.0
4676486,5,0,0,0,0.0
4676959,5,0,0,0,0.0
4683311,157,1,3,0,0.0
4683331,0,0,1,0,0.0
4685810,1,0,0,0,0.0
4686283,3,0,0,0,0.0
4689003,5,0,1,0,0.0
4690273,1,0,0,0,0.0
4693580,15,1,0,0,0.0
4694009,17,0,1,0,0.0
4694416,3,0,0,0,0.0
4696969,5,0,1,0,0.0
4698156,4,0,0,0,0.0
4698738,1,0,0,0,0.0
4699114,1,0,0,0,0.0
4701147,49,0,1,0,0.0
4702145,5,0,0,0,0.0
4705138,13,1,0,0,0.0
4711317,0,3,0,0,0.0
4715902,1,0,0,0,0.0
4719371,9,1,0,0,0.0
4719533,3,0,0,0,0.0
4724204,2,0,0,0,0.0
4725540,4,0,0,0,0.0
4725921,91,2,1,0,0.0
4729642,2,0,0,0,0.0
4730017,42,0,0,0,0.0
4730421,4,0,0,0,0.0
4732548,9,0,0,0,0.0
4733516,2,0,0,0,0.0
4734633,5,0,0,0,0.0
4734649,8,0,3,0,0.0
4735729,4,0,0,0,0.0
4736122,3,0,0,0,0.0
4737118,1,0,0,0,0.0
4737992,5,0,0,0,0.0
4738143,10,0,0,0,0.0
4739787,6,0,0,0,0.0
4741040,12,0,0,0,0.0
4750383,7,0,0,0,0.0
4750592,1,0,0,0,0.0
4750636,6,0,0,0,0.0
4752329,4,0,2,0,0.0
4753530,1,0,0,0,0.0
4753899,5,0,0,0,0.0
4754273,44,0,0,0,0.0
4754509,1,0,0,0,0.0
4754898,224,2,4,0,0.0
4755134,26,0,2,0,0.0
4760331,33,0,0,0,0.0
4760363,1,0,0,0,0.0
4761031,1,0,0,0,0.0
4761193,44,0,1,0,0.0
4762296,11,1,0,0,0.0
4763681,3,0,0,0,0.0
4765763,2,0,0,0,0.0
4768161,6,0,0,0,0.0
4768875,3,0,0,0,0.0
4770150,19,0,2,0,0.0
4770284,4,0,1,0,0.0
4772702,4,0,1,0,0.0
4774660,61,0,5,0,0.0
4776923,1,0,0,0,0.0
4780027,15,0,0,0,0.0
4781613,193,3,2,0,0.0
4783491,2,0,0,0,0.0
4784593,20,0,0,0,0.0
4785004,9,0,0,0,0.0
4785435,6,0,0,0,0.0
4786595,8,0,1,0,0.0
4787383,5,0,0,0,0.0
4788932,1,0,0,0,0.0
4790654,3,0,1,0,0.0
4791623,12,1,1,0,0.0
4791913,80,1,11,0,0.0
4793442,2,0,0,0,0.0
4795103,1,0,0,0,0.0
4796256,11,1,0,0,0.0
4796716,13,1,1,0,0.0
4797379,76,4,3,0,0.0
4799973,6,1,2,0,0.0
4800373,3,0,0,0,0.0
4801438,33,0,5,0,0.0
4801709,1,0,0,0,0.0
4802116,3,0,0,0,0.0
4802503,11,0,0,0,0.0
4803457,37,0,7,0,0.0
4803781,0,1,0,0,0.0
4809328,26,1,1,0,0.0
4812210,2,0,0,0,0.0
4814359,17,0,1,0,0.0
4814715,26,1,2,0,0.0
4816147,1,0,1,0,0.0
4818679,5,0,0,0,0.0
4820445,14,2,0,0,0.0
4820683,4,0,1,0,0.0
4822258,1,0,0,0,0.0
4823567,15,0,0,0,0.0
4823798,2,0,0,0,0.0
4824517,20,1,3,0,0.0
4824934,4,0,0,0,0.0
4825166,1,0,0,0,0.0
4826774,31,2,1,0,0.0
4832262,11,0,2,0,0.0
4832362,15,1,0,0,0.0
4832627,3,0,1,0,0.0
4832888,2,0,0,0,0.0
4836950,3,0,0,0,0.0
4837990,3,0,0,0,0.0
4840256,7,0,0,0,0.0
4841781,1,0,0,0,0.0
4842553,4,0,0,0,0.0
4843850,2,0,0,0,0.0
4844483,3,0,0,0,0.0
4847424,1,0,0,0,0.0
4849381,23,0,0,0,0.0
4850337,81,0,1,0,0.0
4852691,1,0,0,0,0.0
4854514,4,0,0,0,0.0
4855372,46,3,0,0,0.0
4856191,7,4,0,0,0.0
4856819,1,0,0,0,0.0
4857065,1,0,0,0,0.0
4857579,1,0,0,0,0.0
4857685,6,0,1,0,0.0
4858047,2,1,0,0,0.0
4860274,3,0,1,0,0.0
4862987,2,0,0,0,0.0
4863121,4,0,0,0,0.0
4864746,16,2,2,0,0.0
4865306,2,0,0,0,0.0
4865695,10,0,0,0,0.0
4866356,7,1,0,0,0.0
4868693,1,0,1,0,0.0
4872327,5,0,2,0,0.0
4873899,2,0,0,0,0.0
4874089,11,0,0,0,0.0
4875873,2,0,0,0,0.0
4876006,21,0,1,0,0.0
4876258,65,0,1,0,0.0
4877868,5,0,0,0,0.0
4878258,7,0,0,0,0.0
4878507,2,0,0,0,0.0
4880100,2,0,0,0,0.0
4882792,1,0,0,0,0.0
4884606,3,0,0,0,0.0
4885787,12,0,0,0,0.0
4886389,18,1,1,0,0.0
4892220,6,0,0,0,0.0
4893662,27,0,2,0,0.0
4894696,3,0,0,0,0.0
4897779,4,0,0,0,0.0
4898513,1,0,0,0,0.0
4900099,1,0,0,0,0.0
4900860,1,0,0,0,0.0
4902863,1,0,2,0,0.0
4903093,58,1,5,0,0.0
4904667,8,0,0,0,0.0
4905679,2,0,1,0,0.0
4905722,1,0,0,0,0.0
4911196,98,6,7,0,0.0
4912031,87,2,8,0,0.0
4913523,2,0,0,0,0.0
4914162,1,0,0,0,0.0
4916460,9,1,0,0,0.0
4917079,33,0,1,0,0.0
4918683,8,0,0,0,0.0
4919545,12,0,4,0,0.0
4920960,37,0,0,0,0.0
4923243,1,0,0,0,0.0
4923907,0,0,1,0,0.0
4925852,8,0,0,0,0.0
4928116,193,8,3,0,0.0
4932155,1,0,0,0,0.0
4932619,2,0,0,0,0.0
4933257,30,1,2,0,0.0
4934285,3,0,2,0,0.0
4935371,3,0,0,0,0.0
4940020,53,2,1,0,0.0
4942599,2,0,0,0,0.0
4943214,12,0,0,0,0.0
4943787,2,0,0,0,0.0
4946287,3,0,0,0,0.0
4949652,7,1,0,0,0.0
4950941,3,0,0,0,0.0
4952210,56,4,3,0,0.0
4953476,5,0,0,0,0.0
4953972,29,2,3,0,0.0
